From	To	Species	Gene Name
PTPRT	11122	Homo sapiens	protein tyrosine phosphatase receptor type T(PTPRT)
TOP2A	7153	Homo sapiens	DNA topoisomerase II alpha(TOP2A)
CDKN1A	1026	Homo sapiens	cyclin dependent kinase inhibitor 1A(CDKN1A)
ROBO4	54538	Homo sapiens	roundabout guidance receptor 4(ROBO4)
CDKN1B	1027	Homo sapiens	cyclin dependent kinase inhibitor 1B(CDKN1B)
RSF1	51773	Homo sapiens	remodeling and spacing factor 1(RSF1)
BRCA1	672	Homo sapiens	BRCA1 DNA repair associated(BRCA1)
BRCA2	675	Homo sapiens	BRCA2 DNA repair associated(BRCA2)
ABCC10	89845	Homo sapiens	ATP binding cassette subfamily C member 10(ABCC10)
AREG	374	Homo sapiens	amphiregulin(AREG)
PBK	55872	Homo sapiens	PDZ binding kinase(PBK)
RAC1	5879	Homo sapiens	Rac family small GTPase 1(RAC1)
TIMP1	7076	Homo sapiens	TIMP metallopeptidase inhibitor 1(TIMP1)
JAK2	3717	Homo sapiens	Janus kinase 2(JAK2)
HRAS	3265	Homo sapiens	HRas proto-oncogene, GTPase(HRAS)
JAK1	3716	Homo sapiens	Janus kinase 1(JAK1)
HAVCR2	84868	Homo sapiens	hepatitis A virus cellular receptor 2(HAVCR2)
PBRM1	55193	Homo sapiens	polybromo 1(PBRM1)
SYK	6850	Homo sapiens	spleen associated tyrosine kinase(SYK)
NCOA3	8202	Homo sapiens	nuclear receptor coactivator 3(NCOA3)
SPHK1	8877	Homo sapiens	sphingosine kinase 1(SPHK1)
TET2	54790	Homo sapiens	tet methylcytosine dioxygenase 2(TET2)
SIRT1	23411	Homo sapiens	sirtuin 1(SIRT1)
DUSP6	1848	Homo sapiens	dual specificity phosphatase 6(DUSP6)
POU5F1	5460	Homo sapiens	POU class 5 homeobox 1(POU5F1)
RAD51D	5892	Homo sapiens	RAD51 paralog D(RAD51D)
ZEB1	6935	Homo sapiens	zinc finger E-box binding homeobox 1(ZEB1)
PAX8	7849	Homo sapiens	paired box 8(PAX8)
KIT	3815	Homo sapiens	KIT proto-oncogene, receptor tyrosine kinase(KIT)
TFF3	7033	Homo sapiens	trefoil factor 3(TFF3)
CD44	960	Homo sapiens	CD44 molecule (IN blood group)(CD44)
DDR2	4921	Homo sapiens	discoidin domain receptor tyrosine kinase 2(DDR2)
MAGEH1	28986	Homo sapiens	MAGE family member H1(MAGEH1)
GSTP1	2950	Homo sapiens	glutathione S-transferase pi 1(GSTP1)
NEDD9	4739	Homo sapiens	neural precursor cell expressed, developmentally down-regulated 9(NEDD9)
CXCR4	7852	Homo sapiens	C-X-C motif chemokine receptor 4(CXCR4)
TYMS	7298	Homo sapiens	thymidylate synthetase(TYMS)
EGFR	1956	Homo sapiens	epidermal growth factor receptor(EGFR)
NRAS	4893	Homo sapiens	NRAS proto-oncogene, GTPase(NRAS)
NT5E	4907	Homo sapiens	5'-nucleotidase ecto(NT5E)
AGR2	10551	Homo sapiens	anterior gradient 2, protein disulphide isomerase family member(AGR2)
PMS2	5395	Homo sapiens	PMS1 homolog 2, mismatch repair system component(PMS2)
SF3B1	23451	Homo sapiens	splicing factor 3b subunit 1(SF3B1)
NQO1	1728	Homo sapiens	NAD(P)H quinone dehydrogenase 1(NQO1)
NPM1	4869	Homo sapiens	nucleophosmin 1(NPM1)
CDX2	1045	Homo sapiens	caudal type homeobox 2(CDX2)
CDKN2A	1029	Homo sapiens	cyclin dependent kinase inhibitor 2A(CDKN2A)
MGMT	4255	Homo sapiens	O-6-methylguanine-DNA methyltransferase(MGMT)
STAT3	6774	Homo sapiens	signal transducer and activator of transcription 3(STAT3)
PSMB8	5696	Homo sapiens	proteasome 20S subunit beta 8(PSMB8)
VEGFA	7422	Homo sapiens	vascular endothelial growth factor A(VEGFA)
RIT1	6016	Homo sapiens	Ras like without CAAX 1(RIT1)
KRT18	3875	Homo sapiens	keratin 18(KRT18)
WT1	7490	Homo sapiens	WT1 transcription factor(WT1)
MRE11	4361	Homo sapiens	MRE11 homolog, double strand break repair nuclease(MRE11)
TTF1	7270	Homo sapiens	transcription termination factor 1(TTF1)
DUX4	100288687	Homo sapiens	double homeobox 4(DUX4)
ETS2	2114	Homo sapiens	ETS proto-oncogene 2, transcription factor(ETS2)
IGF1R	3480	Homo sapiens	insulin like growth factor 1 receptor(IGF1R)
STK11	6794	Homo sapiens	serine/threonine kinase 11(STK11)
CCND3	896	Homo sapiens	cyclin D3(CCND3)
CCND2	894	Homo sapiens	cyclin D2(CCND2)
PTTG1	9232	Homo sapiens	PTTG1 regulator of sister chromatid separation, securin(PTTG1)
CCND1	595	Homo sapiens	cyclin D1(CCND1)
TUBB3	10381	Homo sapiens	tubulin beta 3 class III(TUBB3)
FNTB	2342	Homo sapiens	farnesyltransferase, CAAX box, beta(FNTB)
PIM1	5292	Homo sapiens	Pim-1 proto-oncogene, serine/threonine kinase(PIM1)
LEPR	3953	Homo sapiens	leptin receptor(LEPR)
SSX4	6759	Homo sapiens	SSX family member 4(SSX4)
SSX2	6757	Homo sapiens	SSX family member 2(SSX2)
ROS1	6098	Homo sapiens	ROS proto-oncogene 1, receptor tyrosine kinase(ROS1)
SSX1	6756	Homo sapiens	SSX family member 1(SSX1)
PDGFRB	5159	Homo sapiens	platelet derived growth factor receptor beta(PDGFRB)
PDGFRA	5156	Homo sapiens	platelet derived growth factor receptor alpha(PDGFRA)
MAP2K1	5604	Homo sapiens	mitogen-activated protein kinase kinase 1(MAP2K1)
FBXW7	55294	Homo sapiens	F-box and WD repeat domain containing 7(FBXW7)
RPS6	6194	Homo sapiens	ribosomal protein S6(RPS6)
TSC2	7249	Homo sapiens	TSC complex subunit 2(TSC2)
TSC1	7248	Homo sapiens	TSC complex subunit 1(TSC1)
FOXP3	50943	Homo sapiens	forkhead box P3(FOXP3)
FOXP1	27086	Homo sapiens	forkhead box P1(FOXP1)
MYCN	4613	Homo sapiens	MYCN proto-oncogene, bHLH transcription factor(MYCN)
SLFN11	91607	Homo sapiens	schlafen family member 11(SLFN11)
SMO	6608	Homo sapiens	smoothened, frizzled class receptor(SMO)
CCNE1	898	Homo sapiens	cyclin E1(CCNE1)
PGR	5241	Homo sapiens	progesterone receptor(PGR)
ERG	2078	Homo sapiens	ETS transcription factor ERG(ERG)
ABCG2	9429	Homo sapiens	ATP binding cassette subfamily G member 2 (JR blood group)(ABCG2)
KMT2D	8085	Homo sapiens	lysine methyltransferase 2D(KMT2D)
CSF1R	1436	Homo sapiens	colony stimulating factor 1 receptor(CSF1R)
CD274	29126	Homo sapiens	CD274 molecule(CD274)
DNMT1	1786	Homo sapiens	DNA methyltransferase 1(DNMT1)
NOTCH1	4851	Homo sapiens	notch receptor 1(NOTCH1)
KMT2A	4297	Homo sapiens	lysine methyltransferase 2A(KMT2A)
CBFB	865	Homo sapiens	core-binding factor subunit beta(CBFB)
ECSCR	641700	Homo sapiens	endothelial cell surface expressed chemotaxis and apoptosis regulator(ECSCR)
BCL2L11	10018	Homo sapiens	BCL2 like 11(BCL2L11)
ABL1	25	Homo sapiens	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)
EIF4EBP1	1978	Homo sapiens	eukaryotic translation initiation factor 4E binding protein 1(EIF4EBP1)
SMAD4	4089	Homo sapiens	SMAD family member 4(SMAD4)
HSPA5	3309	Homo sapiens	heat shock protein family A (Hsp70) member 5(HSPA5)
PTCH1	5727	Homo sapiens	patched 1(PTCH1)
IDH1	3417	Homo sapiens	isocitrate dehydrogenase (NADP(+)) 1(IDH1)
IDH2	3418	Homo sapiens	isocitrate dehydrogenase (NADP(+)) 2(IDH2)
ASNS	440	Homo sapiens	asparagine synthetase (glutamine-hydrolyzing)(ASNS)
FANCC	2176	Homo sapiens	FA complementation group C(FANCC)
DEFA1	1667	Homo sapiens	defensin alpha 1(DEFA1)
ESR1	2099	Homo sapiens	estrogen receptor 1(ESR1)
PALB2	79728	Homo sapiens	partner and localizer of BRCA2(PALB2)
LRP1B	53353	Homo sapiens	LDL receptor related protein 1B(LRP1B)
PTPRD	5789	Homo sapiens	protein tyrosine phosphatase receptor type D(PTPRD)
CDK4	1019	Homo sapiens	cyclin dependent kinase 4(CDK4)
GNAQ	2776	Homo sapiens	G protein subunit alpha q(GNAQ)
BCL2	596	Homo sapiens	BCL2 apoptosis regulator(BCL2)
MDM2	4193	Homo sapiens	MDM2 proto-oncogene(MDM2)
HLA-DRA	3122	Homo sapiens	major histocompatibility complex, class II, DR alpha(HLA-DRA)
NF2	4771	Homo sapiens	NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor(NF2)
FGF13	2258	Homo sapiens	fibroblast growth factor 13(FGF13)
UGT1A	7361	Homo sapiens	UDP glucuronosyltransferase family 1 member A complex locus(UGT1A)
FGFR3	2261	Homo sapiens	fibroblast growth factor receptor 3(FGFR3)
MYD88	4615	Homo sapiens	MYD88 innate immune signal transduction adaptor(MYD88)
FGFR2	2263	Homo sapiens	fibroblast growth factor receptor 2(FGFR2)
FGFR1	2260	Homo sapiens	fibroblast growth factor receptor 1(FGFR1)
ALK	238	Homo sapiens	ALK receptor tyrosine kinase(ALK)
B4GALT1	2683	Homo sapiens	beta-1,4-galactosyltransferase 1(B4GALT1)
FLT3	2322	Homo sapiens	fms related receptor tyrosine kinase 3(FLT3)
PTEN	5728	Homo sapiens	phosphatase and tensin homolog(PTEN)
DDX43	55510	Homo sapiens	DEAD-box helicase 43(DDX43)
HSPB1	3315	Homo sapiens	heat shock protein family B (small) member 1(HSPB1)
FCGR3A	2214	Homo sapiens	Fc gamma receptor IIIa(FCGR3A)
CASP8	841	Homo sapiens	caspase 8(CASP8)
NAPRT	93100	Homo sapiens	nicotinate phosphoribosyltransferase(NAPRT)
ABCC3	8714	Homo sapiens	ATP binding cassette subfamily C member 3(ABCC3)
MMP2	4313	Homo sapiens	matrix metallopeptidase 2(MMP2)
DNMT3A	1788	Homo sapiens	DNA methyltransferase 3 alpha(DNMT3A)
NRG1	3084	Homo sapiens	neuregulin 1(NRG1)
FOXL2	668	Homo sapiens	forkhead box L2(FOXL2)
CIP2A	57650	Homo sapiens	cellular inhibitor of PP2A(CIP2A)
MMP9	4318	Homo sapiens	matrix metallopeptidase 9(MMP9)
ACTA1	58	Homo sapiens	actin alpha 1, skeletal muscle(ACTA1)
PTP4A3	11156	Homo sapiens	protein tyrosine phosphatase 4A3(PTP4A3)
PIK3CA	5290	Homo sapiens	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha(PIK3CA)
SETBP1	26040	Homo sapiens	SET binding protein 1(SETBP1)
ALDH1A2	8854	Homo sapiens	aldehyde dehydrogenase 1 family member A2(ALDH1A2)
BIRC5	332	Homo sapiens	baculoviral IAP repeat containing 5(BIRC5)
BIRC7	79444	Homo sapiens	baculoviral IAP repeat containing 7(BIRC7)
TOP1	7150	Homo sapiens	DNA topoisomerase I(TOP1)
MET	4233	Homo sapiens	MET proto-oncogene, receptor tyrosine kinase(MET)
CEBPA	1050	Homo sapiens	CCAAT enhancer binding protein alpha(CEBPA)
PRKAA2	5563	Homo sapiens	protein kinase AMP-activated catalytic subunit alpha 2(PRKAA2)
U2AF1	7307	Homo sapiens	U2 small nuclear RNA auxiliary factor 1(U2AF1)
THBS2	7058	Homo sapiens	thrombospondin 2(THBS2)
NT5C2	22978	Homo sapiens	5'-nucleotidase, cytosolic II(NT5C2)
AURKA	6790	Homo sapiens	aurora kinase A(AURKA)
ERBB3	2065	Homo sapiens	erb-b2 receptor tyrosine kinase 3(ERBB3)
ERBB4	2066	Homo sapiens	erb-b2 receptor tyrosine kinase 4(ERBB4)
GNA11	2767	Homo sapiens	G protein subunit alpha 11(GNA11)
ERBB2	2064	Homo sapiens	erb-b2 receptor tyrosine kinase 2(ERBB2)
MAPK1	5594	Homo sapiens	mitogen-activated protein kinase 1(MAPK1)
VHL	7428	Homo sapiens	von Hippel-Lindau tumor suppressor(VHL)
NTRK1	4914	Homo sapiens	neurotrophic receptor tyrosine kinase 1(NTRK1)
MIR218-1	407000	Homo sapiens	microRNA 218-1(MIR218-1)
EGF	1950	Homo sapiens	epidermal growth factor(EGF)
CFLAR	8837	Homo sapiens	CASP8 and FADD like apoptosis regulator(CFLAR)
PML	5371	Homo sapiens	PML nuclear body scaffold(PML)
MTOR	2475	Homo sapiens	mechanistic target of rapamycin kinase(MTOR)
ASXL1	171023	Homo sapiens	ASXL transcriptional regulator 1(ASXL1)
WEE1	7465	Homo sapiens	WEE1 G2 checkpoint kinase(WEE1)
FCGR2A	2212	Homo sapiens	Fc gamma receptor IIa(FCGR2A)
APC	324	Homo sapiens	APC regulator of WNT signaling pathway(APC)
ERCC1	2067	Homo sapiens	ERCC excision repair 1, endonuclease non-catalytic subunit(ERCC1)
ERCC2	2068	Homo sapiens	ERCC excision repair 2, TFIIH core complex helicase subunit(ERCC2)
PDCD4	27250	Homo sapiens	programmed cell death 4(PDCD4)
ERCC5	2073	Homo sapiens	ERCC excision repair 5, endonuclease(ERCC5)
KRAS	3845	Homo sapiens	KRAS proto-oncogene, GTPase(KRAS)
FCGR2B	2213	Homo sapiens	Fc gamma receptor IIb(FCGR2B)
